year,id,country,CO2_emissions_transport_cap,gas_cons_capita,diesel_cons_capita,real_gdp_PPP_cap,urban_pop,vehicles_1000cap,share,fuel_cons_capita,gas_share
1996,2,Austria,2.14655981809249,278.9289179807,393.13900196469,30714.3980115718,61.32,0,0.709491850431447,672.06791994539,41.5030846887268
1997,2,Austria,2.03667868901181,264.1803675458,370.103517288628,32073.0161923208,61.045,0,0.713801288572399,634.283884834428,41.6501780767709
1998,2,Austria,2.31351778838371,276.301654713444,435.764315691439,33918.9341265773,60.768,0,0.634062140391254,712.065970404883,38.8028169014084
1999,2,Austria,2.24214565376536,257.121708279094,429.787380992062,34937.9988571764,60.491,0,0.598253275109171,686.909089271156,37.4316939890711
2000,2,Austria,2.33089571938133,247.26751299309,478.183665964931,36020.2047850277,60.213,0,0.517097363612634,725.451178958021,34.0846524432209
2001,2,Austria,2.4786097335853,247.441867636506,527.710194095142,35188.1443744686,59.934,0,0.4688972667295,775.152061731648,31.9217196021816
2002,2,Austria,2.69429473579233,265.406014904558,588.718796697384,35578.0180163812,59.655,0,0.450819672131147,854.124811601942,31.0734463276836
2003,2,Austria,2.868427264266,270.395963860028,637.326734489756,36019.1558887575,59.375,0,0.424265842349305,907.722698349784,29.7883884970158
2004,2,Austria,2.85537304880455,264.318280325689,650.883765302009,37184.2197751593,59.094,0,0.406091370558376,915.202045627698,28.8808664259928
2005,2,Austria,2.9704247299923,252.557509398895,683.776972029924,38499.547762247,58.813,0,0.369356558833985,936.334481428819,26.9730010384216
2006,2,Austria,2.82896550371961,242.724288066201,635.291821231566,40318.4567577909,58.532,0,0.382067390062822,878.016109297767,27.6446280991736
2007,2,Austria,2.84811602983646,232.026164262959,650.540647466241,41867.2963219046,58.249,0,0.356666666666666,882.5668117292,26.2899262899263
2008,2,Austria,2.66972714154126,199.713899343715,622.291717594711,42896.3621826934,57.966,0,0.320932922127988,822.005616938426,24.2959287903108
2009,2,Austria,2.55033014763925,208.839518127019,594.95952015923,42216.1948257422,57.683,0,0.351014667470363,803.799038286249,25.9815585960738
2010,2,Austria,2.61045343424194,204.77316961333,625.642821478679,43076.352121501,57.399,0,0.3273004381787,830.415991092009,24.6591072197502
2011,2,Austria,2.50845558048504,197.354638910602,607.290796647755,44873.8947130241,57.115,0,0.324975514201762,804.645435558357,24.5269071555292
1960,3,Belgium,0.806044512119584,117.987796784374,41.6234727544874,10466.0699323261,92.46,82.2746386651036,2.83464566929134,159.611269538861,73.9219712525668
1961,3,Belgium,0.848135240449473,125.436250292358,44.6431099130788,10886.0418474312,92.554,91.1372756030413,2.80975609756098,170.079360205437,73.7516005121639
1962,3,Belgium,0.840859997100067,129.818325922735,49.8884126353033,11399.1021314527,92.679,99.1911786874966,2.60217391304348,179.706738558038,72.2389861194931
1963,3,Belgium,0.817893339034652,134.126033260242,55.9755516013852,11691.6608036582,92.835,110.01348795503,2.39615384615384,190.101584861627,70.5549263873159
1964,3,Belgium,0.842660069509504,148.643975605754,63.9787556409269,12454.2775346704,92.988,122.753905823058,2.32333333333334,212.622731246681,69.9097291875628
1965,3,Belgium,0.896997692976911,164.312628498023,73.4387632193736,12861.0998060039,93.137,141.594162178361,2.23741007194245,237.751391717397,69.1111111111111
1966,3,Belgium,0.870285621026587,160.47764191697,69.2709245684763,13188.7659925926,93.284,157.759282907389,2.31666666666667,229.748566485446,69.8492462311558
1967,3,Belgium,0.958814904895985,175.973445753159,75.6706691405931,13616.7694710768,93.428,158.647471853381,2.32551724137932,251.644114893752,69.9294898382414
1968,3,Belgium,1.08559128754902,193.372199066075,92.1117034260979,14125.1180137347,93.569,188.496308670269,2.09932279909707,285.483902492173,67.7348871085215
1969,3,Belgium,1.12204970076041,209.723542281427,85.8384048487502,15096.2342568295,93.707,199.107778203514,2.44323671497584,295.561947130177,70.9575587513153
1970,3,Belgium,1.23028460321247,228.158958128637,104.706630353178,15997.3128177188,93.843,213.307394535515,2.1790306627102,332.865588481815,68.5438705662727
1971,3,Belgium,1.26039111117058,238.598299087723,109.89167761276,16467.7299175199,93.976,222.688299854794,2.17121354656632,348.489976700483,68.4663304657371
1972,3,Belgium,1.33136477247747,259.290514014096,119.759677441777,17499.8857801965,94.106,234.082286122654,2.16509028374892,379.050191455873,68.4053246400434
1973,3,Belgium,1.38782550681411,263.711131093893,128.416747761176,18804.5071139443,94.233,245.285226838792,2.05355715427657,392.127878855069,67.2513089005235
1974,3,Belgium,1.32797652061222,256.640653660061,104.784700696931,19411.9656062649,94.358,256.04714656627,2.44921875,361.425354356992,71.0079275198188
1975,3,Belgium,1.44861490330865,282.122705521034,116.420255696022,18956.045894328,94.48,266.705439407389,2.42331288343558,398.542961217056,70.7885304659498
1976,3,Belgium,1.51664475917685,291.702361332652,127.823485849329,20157.259432558,94.6,278.869087056146,2.28207171314741,419.525847181981,69.5314396698228
1977,3,Belgium,1.56233539434908,302.532217036246,141.703893184765,20531.4652578877,94.806,292.084988156077,2.13496051687006,444.236110221011,68.10167162812
1978,3,Belgium,1.64878005185596,315.360463208928,144.214146726867,21283.2632144593,95.005,302.1891077362,2.18675123326286,459.574609935795,68.6200796107917
1979,3,Belgium,1.75258733282253,317.209466489013,174.95259627419,22003.2068140547,95.196,312.396493149839,1.81311665699362,492.162062763203,64.45223849804
1980,3,Belgium,1.73318124253365,298.50164951829,182.062677840751,22866.0368621681,95.381,320.379599161883,1.63955431754875,480.564327359041,62.1148163782187
1981,3,Belgium,1.68850152374063,275.383401653436,186.428984250098,21346.3780322225,95.535,320.78362654481,1.47714907508161,461.812385903534,59.6310125192181
1982,3,Belgium,1.71666988768112,270.486814376547,197.23419622956,20628.102044487,95.637,323.518869093209,1.37139917695473,467.721010606107,57.8308026030369
1983,3,Belgium,1.65055205187126,261.274899751611,210.03457960615,19979.1765884908,95.737,326.862509537802,1.243961352657,471.309479357761,55.4359526372443
